Während der gesamten parlamentarischen Republik waren die Grünen eine der dominierenden Parteien im Kongress .     7:8    /government /government/political_party /organization
Während der gesamten parlamentarischen Republik waren die Konservativen eine der dominierenden Parteien im Bundestag.     13:14    /government /government/government
Wolfgang Kosack : Der koptische Heiligenkalender .     0:3    /person /person/artist
Der Song war so bezeichnend für den Klang von Tokio Hotel von Bill Kaulitz , dass diese Formation auch die Four Brothers Band benannt wurde .     9:11    /person /person/musician
Der Song war so bezeichnend für den Klang  von Tokio Hotel von Bill Kaulitz , dass diese Formation auch die Four Brothers Band benannt wurde .     12:14    /person /person/musician
Der Song war so bezeichnend für den Klang von Tokio Hotel von Bill Kaulitz , dass diese Formation auch die Toten Hosen benannt wurde .     19:22    /person /person/musician
In einem Interview präzisiert der Künstler seine Motivation und antwortet auf die Frage ob die RAF Opfer ihrer Ideologie wurde : Ja sicher .     15:16    /military
Die Ahlener Zeitung war eine Tageszeitung in Ahlen , Nordrhein Westfalen , die im Jahr 2010 eingestellt wurde .     0:3    /written_work
Die Ahlener Zeitung war eine Tageszeitung in Ahlen , Nordrhein Westfalen , die im Jahr 2010 eingestellt wurde .    1:3    /written_work
Die Ahlener Zeitung war eine Tageszeitung in Ahlen , Nordrhein Westfalen , die im Jahr 2010 eingestellt wurde .     7:8    /location /location/city
Die Ahlener Zeitung war eine Tageszeitung in Ahlen , Nordrhein Westfalen , die im Jahr 2010 eingestellt wurde .      9:11    /location /location/province
Die Ahlener Zeitung war eine Tageszeitung in Ahlen , Nordrhein Westfalen , die im Jahr 2010 eingestellt wurde .    15:16    /event
Er hat 23 Geschwister , die nicht alle von der gleichen Mutter stammen , da sein Vater polygam lebte .     2:3    /finance
Koper kündigte die Fortsetzung der Suche an .     0:1    /person
Nach der Trennung von der SPD wurde die FVdG zunehmend vom französischen Anarchismus und Syndikalismus beeinflusst .     5:6    /government /government/political_party
Nach der Trennung von der SPD wurde die FVdG zunehmend vom französischen Anarchismus und Syndikalismus beeinflusst .     8:9    /government /government/political_party
Nach der Trennung von der SPD wurde die FVdG zunehmend vom französischen Anarchismus und Syndikalismus beeinflusst .     11:12    /location /location/country
In der Resolution wird die Schaffung eines Obersten Nationalrats als Autoritätsquelle während der Übergangszeit begrüßt .     10:14    /government /government/government
Die Technische Informationsbibliothek der Leibniz Universität Hannover hat mehrere experimentelle Anwendungen unter Verwendung von BIBFRAME erstellt .     4:7    /organization /organization/educational_institution
Die Technische Informationsbibliothek der Leibniz Universität Hannover hat mehrere experimentelle Anwendungen unter Verwendung von BIBFRAME erstellt .     1:3    /location
Die Technische Informationsbibliothek der Leibniz Universität Hannover hat mehrere experimentelle Anwendungen unter Verwendung von BIBFRAME erstellt .     14:15    /organization /organization/company
Sie war die zweite Frau von Charles Townshend , der berüchtigt für seinen Jähzorn war .     3:4    /finance
Sie war die zweite Frau von Helmut Kohl, der berüchtigt für seinen Jähzorn war .     6:8    /person /person/politician
Der erste Sohn , Andreas Schmidt , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet .     4:6    /person
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet .     9:12    /event
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Chicago getötet .     17:18    /event
Der erste Sohn , Sylvester Smith , wurde im Alter von 11 von einem Auto im Jahr 1919 in Wuppertal getötet .     19:20    /location /location/city
Eine Notiz auf der Rückseite benennt Michael Luter , für eine Neufassung im Jahr 1820 .     6:8    /person
Eine Notiz auf der Rückseite benennt Michael Luter , für eine Neufassung im Jahr 1820 .     14:15    /event
So ging Magnus ein Militärbündnis mit dem dänischen König ein .     2:3    /person /person/monarch
So ging Magnus ein Militärbündnis mit dem dänischen König ein .     7:8    /location /location/country
Später aber beschäftigte er sich selbst mit der Verbesserung seiner Felder und dem Neubau von Schloss Allner .     15:17    /location
In : Kidney & Blood Pressure Research .     2:7    /written_work
1650 ist eine Gesetzesänderung zu einem Militärgesetz von 1969 , welches dem Umgang mit Infiltration seitens der benachbarten arabischen Staaten diente .     8:9    /event
1650 ist eine Gesetzesänderung zu einem Militärgesetz von 1969 , welches dem Umgang mit Infiltration seitens der benachbarten arabischen Staaten diente .     18:19    /location
Drei weitere Gruppen folgten im Januar 2012 .     0:1    /finance
Drei weitere Gruppen folgten im Januar 2012 .     5:7    /event
