Eine Handvoll Professoren der UW , Abteilung für Chemie , werden von der American Association for the Advancement of Science -LRB- AAAS -RRB- für ihre Bemühungen und Beiträge zur wissenschaftlichen Gemeinschaft ausgezeichnet .	4:5	/organization/educational_institution
Eine Handvoll Professoren der UW , Abteilung für Chemie , werden von der American Association for the Advancement of Science -LRB- AAAS -RRB- für ihre Bemühungen und Beiträge zur wissenschaftlichen Gemeinschaft ausgezeichnet .	6:9	/education/department /organization
Eine Handvoll Professoren der UW , Abteilung für Chemie , werden von der American Association for the Advancement of Science -LRB- AAAS -RRB- für ihre Bemühungen und Beiträge zur wissenschaftlichen Gemeinschaft ausgezeichnet .	13:19	/organization
Eine Handvoll Professoren der UW-Abteilung für Chemie werden von der American Association for the Advancement of Science -LRB- AAAS -RRB- für ihre Bemühungen und Beiträge zur wissenschaftlichen Gemeinschaft ausgezeichnet .	19:22	/organization
Die AAAS ist die größte wissenschaftliche Gesellschaft der Welt und veröffentlicht Zeitschriften wie Science , und Science Translational Medicine .	1:2	/organization
Die AAAS ist die größte wissenschaftliche Gesellschaft der Welt und veröffentlicht Zeitschriften wie Science , und Science Translational Medicine .	16:19	/written_work
Die AAAS ist die größte wissenschaftliche Gesellschaft der Welt und veröffentlicht Zeitschriften wie Science , und Science Translational Medicine .	13:14	/written_work
Im vergangenen Monat wählte die Organisation 539 ihrer Mitglieder zu Fellows der AAAS , eine Ehre , die Mitglieder auszeichnet , `` deren Bemühungen um die Förderung der Wissenschaft oder ihrer Anwendungen wissenschaftlich oder sozial bemerkenswert sind '' , so die Website des Vereins .	10:11	/title
Im vergangenen Monat wählte die Organisation 539 ihrer Mitglieder zu Fellows der AAAS , eine Ehre , die Mitglieder auszeichnet , `` deren Bemühungen um die Förderung der Wissenschaft oder ihrer Anwendungen wissenschaftlich oder sozial bemerkenswert sind '' , so die Website des Vereins .	12:13	/organization
Neun der gewählten Personen sind Mitglieder der UW-Fakultät .	7:8	/organization/educational_institution
'' Die Wahl in die AAAS ist eine sehr hohe Ehre '' , sagte Paul Hopkins , Leiter der Chemieabteilung .	5:6	/organization
'' Die Wahl in die AAAS ist eine sehr hohe Ehre '' , sagte Paul Hopkins , Leiter der Chemieabteilung .	14:16	/person
